月,日,時,外気温[℃],外気絶対湿度 [kg/kgDA],法線面直達日射量 [W/m2],水平面天空日射量 [W/m2],水平面夜間放射量 [W/m2],太陽高度角[度],太陽方位角[度]
7,19,10,30.55,0.01542623,615.9561808,237.740968,75.93267686,58,-73
7,19,11,32.2,0.015119691,710.8428516,220.7593095,87.11831246,69,-53
7,19,12,33.2,0.017334197,713.6070788,228.9474025,77.29682612,76,-10
7,19,13,33.91666667,0.017375541,692.1678404,235.6422788,81.01132284,72,42
7,19,14,34.58333333,0.018766041,704.7466506,214.9269194,75.66256906,62,67
7,19,15,33.2,0.018988212,324.9539681,326.9189334,66.5171884,50,81
7,19,16,31.41666667,0.018615065,4.569483317,163.7748004,59.09388689,38,89
7,19,17,31.88333333,0.020364228,4.72545254,120.0656312,50.67407659,26,82
7,19,18,31.23333333,0.019603708,4.23039035,65.55366743,51.82892482,14,74
7,19,19,30.35,0.018611295,0,16.39017473,53.33269256,2,66
7,19,20,29.76666667,0.018525623,0,0,50.74599231,-9,57
7,19,21,29.18333333,0.017895624,0,0,51.72469832,-18,47
7,19,22,28.78333333,0.018503127,0,0,45.64179025,-26,34
7,19,23,28.46666667,0.018409212,0,0,44.56879934,-32,19
7,19,24,27.76666667,0.017895366,0,0,44.22374694,-34,3
7,20,1,27.35,0.018161661,0,0,40.29519134,-33,-14
7,20,2,26.98333333,0.01822723,0,0,37.95171249,-29,-29
7,20,3,26.61666667,0.018507237,0,0,34.22877991,-22,-43
7,20,4,26.45,0.018321065,0,0,34.56698587,-12,-54
7,20,5,26.18333333,0.019132731,0,0,27.98350962,-2,-63
7,20,6,26.26666667,0.017674586,96.10165873,71.26939237,37.8493356,10,-71
7,20,7,27.05,0.018300805,51.62495966,154.0714883,37.8217695,21,-79
7,20,8,28.35,0.017279136,142.3945018,251.0318273,51.3859455,34,-87
7,20,9,29.48333333,0.018753351,77.62379976,320.3680287,47.76527843,46,-84
7,20,10,30.71666667,0.018729507,240.7994327,373.9645343,54.55584795,58,-73
7,20,11,32.13333333,0.020663765,105.2458537,427.8346289,50.2189036,69,-53
7,20,12,32.71666667,0.019432998,104.9700396,446.1517261,61.03077772,76,-10
7,20,13,32.61666667,0.019320576,676.8983353,242.3465709,61.1859141,72,41
7,20,14,33.21666667,0.020670746,658.5058005,234.2790873,56.15683178,62,67
7,20,15,33.13333333,0.020903457,610.764715,223.7065813,54.28600293,50,81
7,20,16,31.78333333,0.020553082,184.8382152,291.5006816,48.97347654,38,90
7,20,17,30.16666667,0.018132451,1.296505799,63.29840443,55.44493799,26,82
7,20,18,28.51666667,0.01745192,1.896576313,43.94762504,51.11481313,14,74
7,20,19,28.53333333,0.017975598,0,16.38425741,47.74457302,2,66
7,20,20,28.53333333,0.018736574,0,0,42.81482556,-9,57
7,20,21,28.3,0.018977921,0,0,40.0391311,-19,47
7,20,22,28.11666667,0.019763683,0,0,34.12734558,-27,34
7,20,23,27.56666667,0.019601478,0,0,32.24444592,-32,20
7,20,24,27,0.018245599,0,0,37.91927007,-35,3
7,21,1,26.6,0.017809332,0,0,38.68993431,-34,-14
7,21,2,26.11666667,0.016199371,0,0,47.05698665,-29,-30
7,21,3,25.65,0.016597607,0,0,41.90674301,-22,-43
7,21,4,25.5,0.017503457,0,0,35.02735794,-12,-54
7,21,5,25.53333333,0.01732702,0,0,36.37473256,-2,-63
7,21,6,25.73333333,0.017110552,75.44913422,69.08033507,38.8559585,9,-72
7,21,7,26.66666667,0.016069693,267.8273882,153.6181622,50.81051142,21,-79
7,21,8,28.08333333,0.015288038,425.8259361,201.8258186,63.74505802,34,-87
7,21,9,29.45,0.015254075,572.5059051,214.6224441,71.24687408,46,-84
7,21,10,30.51666667,0.018510375,601.8441952,242.7645622,54.88247253,58,-72
7,21,11,32,0.018949977,551.7643958,291.1918335,60.14100248,69,-52
7,21,12,33.31666667,0.017783453,673.2797005,246.7853676,74.96338272,76,-10
7,21,13,33.55,0.017350198,706.0366611,229.084529,79.13532462,72,41
7,21,14,34.4,0.015048204,707.6185613,213.391841,99.85246653,62,67
7,21,15,34.55,0.016238931,681.6174361,196.7658816,92.28492009,50,81
7,21,16,34.45,0.01579444,636.8241297,173.0391051,94.82244225,38,90
7,21,17,33.45,0.014917718,528.9239514,148.5481022,95.48665937,26,82
7,21,18,32.65,0.016154637,346.1794639,106.9751647,82.28508894,14,74
7,21,19,30.63333333,0.016638585,0,27.5149807,67.93253479,2,66
7,21,20,29.56666667,0.016964069,0,0,59.97980072,-9,57
7,21,21,28.71666667,0.016639694,0,0,57.6526439,-19,47
7,21,22,28.2,0.016877208,0,0,53.30055186,-27,34
7,21,23,27.66666667,0.016346956,0,0,54.11683475,-32,20
